state,name,uf,inserted_at,updated_at
Pernambuco,Santa Terezinha,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Jaguarari,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Ouro Branco,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Ita,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Galia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Bauru,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Arco-Iris,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Silvanopolis,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Sitio do Mato,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Pareci Novo,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Coqueiro Seco,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Guapo,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Turvo,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Novo Cabrais,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Buritizal,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Porteirao,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Ipaporanga,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Parari,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Lagarto,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Formiga,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Pirai do Norte,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Serra Azul de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Forquetinha,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Japira,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Palmas,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Pedra Dourada,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Perdoes,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Tasso Fragoso,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Tiangua,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Cascavel,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Ibitita,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Sarapui,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Palmares do Sul,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Sao Fidelis,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Cruz das Almas,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Taquaritinga,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Pauliceia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Orizania,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Chupinguaia,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Santa Clara d'Oeste,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Muniz Ferreira,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Cordeiros,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Prado Ferreira,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Pojuca,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Acreuna,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Luciara,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Coivaras,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Bocaina de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Cubatao,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Jaguaribe,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Liberdade,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Cidade Gaucha,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Adrianopolis,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Itapeva,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Janduis,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Tres Fronteiras,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso do Sul,Mundo Novo,MS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Sao Jose do Brejo do Cruz,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Nova Bassano,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Sebastiao do Maranhao,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Sebastiao do Oeste,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Nova Marilandia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Terra Rica,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Nortelandia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Nordestina,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Bom Jesus do Tocantins,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Taquarituba,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Silveirania,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Jaciara,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Vieiras,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Alvinlandia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Onca de Pitangui,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Sulina,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Aiquara,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Amazonas,Itamarati,AM,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Fartura do Piaui,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Claudio,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Buriticupu,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Quixaba,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Fortuna de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Prudente de Morais,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Painel,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Jatoba,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Pocos de Caldas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Cabralia Paulista,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Malhada dos Bois,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Cacimbas,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Torixoreu,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Iepe,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Rosario da Limeira,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Cruz Machado,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Massaranduba,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Sao Jose da Tapera,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Dona Ines,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Vila Nova do Piaui,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Ubai,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Itaguaru,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Porto Feliz,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Sao Lourenco do Oeste,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Paulistas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Guabiruba,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Chuvisca,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Bacurituba,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Lucelia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Bela Vista do Maranhao,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Tibau,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Agua Boa,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Monte das Gameleiras,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Baependi,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Dirce Reis,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Merces,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Mariluz,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Nazare Paulista,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Arroio do Meio,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Gotardo,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Igarata,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Inaciolandia,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Pintadas,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Aracoiaba da Serra,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Crucilandia,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Paula Candido,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Correntes,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Jose da Lapa,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Santa Maria do Suacui,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Sandolandia,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Bom Jesus do Amparo,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Muqui,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Penalva,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Jesupolis,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Nova Xavantina,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Cafeara,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Jandaira,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Jacui,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Marapoama,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Santa Helena de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Hortolandia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Marques de Souza,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Sao Manoel do Parana,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Nova Venecia,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Vale do Anari,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Ibate,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Nova Ramada,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Palmeirante,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Italva,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Betania,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Candeias,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Santa Cruz dos Milagres,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Ibipora,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Olho D'Agua do Piaui,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Guapimirim,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Monteiropolis,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Sao Goncalo,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Gaviao Peixoto,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Bacuri,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Goiana,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Queimadas,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Irati,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Exu,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Batalha,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Santa Barbara do Para,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Ribeirao Preto,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Santa Quiteria do Maranhao,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Vista Alegre do Alto,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Santo Angelo,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Antonio Goncalves,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Novo Hamburgo,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Matinhos,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Triunfo,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Paulinia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Guariba,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Inhacora,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Quatigua,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Dom Cavati,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Jussara,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Alfredo Wagner,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso do Sul,Fatima do Sul,MS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Cariacica,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso do Sul,Corumba,MS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Acre,Rio Branco,AC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Sao Raimundo do Doca Bezerra,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Ibicuitinga,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Canhoba,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Alexandria,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Bom Jesus da Penha,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Onda Verde,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Amontada,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Reginopolis,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Jucas,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Marcolandia,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Varzea do Poco,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Alenquer,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Ilhabela,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Brusque,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Presidente Juscelino,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Alvinopolis,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Araquari,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Joao Monlevade,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Jaguaribara,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Barra do Jacare,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Piumhi,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Planalto da Serra,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Mozarlandia,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Divinolandia de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Urubici,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Jataizinho,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Quiterianopolis,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Brejo de Areia,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Carazinho,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Pirapemas,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Passagem Franca,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Couto Magalhaes,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Vitoria,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Tio Hugo,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Guadalupe,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Dom Basilio,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Vitoria das Missoes,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Capao Bonito do Sul,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Piraju,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Nova Esperanca do Sudoeste,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Seringueiras,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Bom Jesus do Tocantins,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Contendas do Sincora,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Santa Efigenia de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Pirai,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Paulistana,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Morro da Fumaca,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Apodi,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Sao Jorge do Ivai,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Sorocaba,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Mogeiro,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Palmital,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Humaita,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Carrancas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Aloandia,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Esplanada,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Paim Filho,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Itaguai,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Tres Coracoes,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Vila Pavao,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Santana do Itarare,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Itinga do Maranhao,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Lavrinhas,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Vista Alegre do Prata,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Ubaporanga,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Pocao,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Chapada,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Marcionilio Souza,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Salto Grande,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Taquaracu de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Sao Francisco de Itabapoana,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Rio Grande da Serra,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Acre,Tarauaca,AC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Santiago,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Novo Alegre,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Floresta,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Igrejinha,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Nova Araca,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Piacabucu,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Porto de Moz,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
